drug_name,num_prescriber,total_cost
ZOLPIDEM TARTRATE ER,57,80726.07
TERAZOSIN HCL,246,71132.62999999998
LAMOTRIGINE,234,125818.50999999994
DORZOLAMIDE-TIMOLOL,96,175995.97999999998
AMLODIPINE BESYLATE,1107,1097551.3800000001
PROAIR HFA,750,2223785.089999999
CARVEDILOL,780,440253.7899999997
DULOXETINE HCL,628,2853627.979999998
METFORMIN HCL,904,663343.1299999991
VALSARTAN,360,943248.1199999999
OXYCODONE-ACETAMINOPHEN,711,1786755.4200000004
VERAPAMIL ER,227,128675.00000000004
LATANOPROST,215,355829.19000000006
ALPRAZOLAM,721,391651.00000000006
CLOPIDOGREL,797,863974.6199999994
ZIPRASIDONE HCL,105,414022.67999999993
HYDROXYZINE HCL,135,62683.49000000002
CLONAZEPAM,666,312012.16999999987
LOVASTATIN,461,260005.22999999986
PREDNISONE,912,426903.18999999965
HYDROCHLOROTHIAZIDE,944,418507.0299999996
FUROSEMIDE,968,559626.3699999998
ANORO ELLIPTA,19,193109.67
DOXAZOSIN MESYLATE,329,391697.8200000001
BUSPIRONE HCL,291,196919.0199999999
VALPROIC ACID,55,28004.429999999997
ESCITALOPRAM OXALATE,574,486341.34000000055
TRAMADOL HCL,953,426089.68000000046
IRBESARTAN,143,118549.70999999993
MELOXICAM,599,217832.33999999997
JANUMET XR,38,358254.54
PAROXETINE HCL,478,293201.95000000007
FLUOROURACIL,37,249939.47
ZOLPIDEM TARTRATE,666,340502.27000000025
GABAPENTIN,1101,2111162.720000002
LORAZEPAM,647,292924.00000000006
SULFAMETHOXAZOLE-TRIMETHOPRIM,491,74344.73000000004
ESOMEPRAZOLE MAGNESIUM,115,630416.12
PHENYTOIN SODIUM EXTENDED,163,152563.90999999997
FLUTICASONE PROPIONATE,777,616361.3300000003
ENALAPRIL MALEATE,366,405177.0500000001
NAMENDA,210,2302559.5999999996
HYDROCODONE-ACETAMINOPHEN,1234,3064563.7499999967
DILTIAZEM 24HR CD,214,191607.5000000001
DIVALPROEX SODIUM,213,403545.1199999999
DIPHENOXYLATE-ATROPINE,101,62446.32999999996
TEMAZEPAM,308,173618.94000000003
SIMVASTATIN,976,1046881.6099999984
BISOPROLOL-HYDROCHLOROTHIAZIDE,92,32867.2
NAPROXEN,417,93944.05999999988
DIGOX,190,210513.64999999988
AZELASTINE HCL,112,181839.59000000003
NITROFURANTOIN MONO-MACRO,198,150095.46000000002
LABETALOL HCL,151,186586.28000000003
PANTOPRAZOLE SODIUM,835,640170.5399999999
ACETAZOLAMIDE,29,83110.9
CLONIDINE HCL,452,133549.16999999995
KLOR-CON M20,288,225247.17
DEXTROAMPHETAMINE-AMPHETAMINE,95,149302.14
DEXAMETHASONE,60,16126.460000000005
ISOSORBIDE MONONITRATE ER,448,312774.84
ATORVASTATIN CALCIUM,1106,2781051.8400000003
SF 5000 PLUS,6,922.26
LOSARTAN POTASSIUM,861,810359.4099999998
TRIAMCINOLONE ACETONIDE,386,236531.76000000004
DEXILANT,180,1646992.070000001
NITROSTAT,233,150701.21999999994
BUPROPION XL,325,523483.7099999996
XARELTO,320,5293379.229999998
METHENAMINE HIPPURATE,30,87865.03
METHYLPREDNISOLONE,294,183819.1699999999
PROMACTA,1,23521.34
GLIPIZIDE,469,154103.0499999998
FAMOTIDINE,360,173552.39000000016
IBUPROFEN,560,163443.22999999992
VENLAFAXINE HCL ER,405,388934.1700000005
CREON,51,1024253.6400000001
SYNTHROID,408,927045.94
FLUCONAZOLE,300,112048.27000000008
DICYCLOMINE HCL,185,43859.74000000001
PIOGLITAZONE-METFORMIN,18,74562.28
ACETAMINOPHEN-CODEINE,355,134718.8300000001
BIDIL,9,36989.97
AZATHIOPRINE,53,77419.04999999999
DIAZEPAM,408,89767.39000000009
BYSTOLIC,221,1123035.1099999999
INTELENCE,9,211592.62
NOVOLOG,123,1168268.4199999995
CLINDAMYCIN HCL,194,30596.390000000007
LEVEMIR FLEXTOUCH,217,3774925.3399999985
MORPHINE SULFATE ER,252,1059442.5399999998
BUMETANIDE,163,205470.49000000002
GLIMEPIRIDE,386,288638.29000000015
CELEBREX,16,83244.37
PIOGLITAZONE HCL,221,348934.55999999994
METOPROLOL TARTRATE,917,517894.7200000009
NOVOLOG MIX 70-30 FLEXPEN,55,1310705.15
MONTELUKAST SODIUM,648,593389.1799999991
PROCHLORPERAZINE MALEATE,74,14140.429999999998
CHLORTHALIDONE,152,180186.33
DILTIAZEM 24HR ER,190,292719.89000000025
OXYBUTYNIN CHLORIDE ER,291,527928.6000000003
MEDROXYPROGESTERONE ACETATE,49,16942.43
QUETIAPINE FUMARATE,465,703082.2100000002
METRONIDAZOLE,161,278219.8599999999
METFORMIN HCL ER,357,561640.7800000003
HUMALOG,123,1435867.8999999997
CARBIDOPA-LEVODOPA ER,52,157900.46
DOXYCYCLINE MONOHYDRATE,62,39760.039999999986
CELECOXIB,352,1678782.51
CYCLOBENZAPRINE HCL,443,221089.79
CIPROFLOXACIN HCL,707,181658.92000000013
POLYETHYLENE GLYCOL 3350,294,222161.2700000001
CLORPRES,1,1452.69
FAZACLO,4,27940.129999999997
SPIRIVA,469,8442027.2
ABILIFY,159,5453180.110000001
SPIRONOLACTONE,498,189210.8899999999
METOPROLOL SUCCINATE,747,2039200.0000000012
CALCITRIOL,100,153549.31000000003
CHLORPROMAZINE HCL,29,306857.39999999997
